i,j,k,x_center_m,y_center_m,z_center_m,temperature_k
11,6,1,0.0105,0.0055,0.0005,304.93101043433694
12,6,1,0.0115,0.0055,0.0005,303.0940754028103
13,6,1,0.0125,0.0055,0.0005,301.83983545715586
14,6,1,0.0135,0.0055,0.0005,301.03659263167657
15,6,1,0.0145,0.0055,0.0005,300.5533978890359
16,6,1,0.0155,0.0055,0.0005,300.27999746088653
17,6,1,0.0165,0.0055,0.0005,300.134305522925
18,6,1,0.0175,0.0055,0.0005,300.0610980003903
19,6,1,0.0185,0.0055,0.0005,300.0263721905953
20,6,1,0.0195,0.0055,0.0005,300.0108058206494
21,6,1,0.0205,0.0055,0.0005,300.00420508116014
22,6,1,0.021500000000000002,0.0055,0.0005,300.0015549264832
23,6,1,0.0225,0.0055,0.0005,300.0005466065043
24,6,1,0.0235,0.0055,0.0005,300.0001827567361
25,6,1,0.0245,0.0055,0.0005,300.00005814347463
26,6,1,0.025500000000000002,0.0055,0.0005,300.00001760930076
27,6,1,0.0265,0.0055,0.0005,300.0000050788935
28,6,1,0.0275,0.0055,0.0005,300.0000013955357
29,6,1,0.0285,0.0055,0.0005,300.00000036542866
30,6,1,0.029500000000000002,0.0055,0.0005,300.0000000912208
31,6,1,0.0305,0.0055,0.0005,300.00000002174033
32,6,1,0.0315,0.0055,0.0005,300.0000000052829
1,7,1,0.0005,0.006500000000000001,0.0005,338.44461923058236
2,7,1,0.0015,0.006500000000000001,0.0005,336.8654279555567
3,7,1,0.0025,0.006500000000000001,0.0005,334.5377192982859
4,7,1,0.0035,0.006500000000000001,0.0005,331.42524726858727
5,7,1,0.0045000000000000005,0.006500000000000001,0.0005,327.61629454478265
6,7,1,0.0055,0.006500000000000001,0.0005,323.3257711463436
7,7,1,0.006500000000000001,0.006500000000000001,0.0005,318.85915605813875
8,7,1,0.0075,0.006500000000000001,0.0005,314.54833446728577
9,7,1,0.0085,0.006500000000000001,0.0005,310.6814611112626
10,7,1,0.0095,0.006500000000000001,0.0005,307.45051868608357
11,7,1,0.0105,0.006500000000000001,0.0005,304.93101043433694
12,7,1,0.0115,0.006500000000000001,0.0005,303.0940754028103
13,7,1,0.0125,0.006500000000000001,0.0005,301.83983545715586
14,7,1,0.0135,0.006500000000000001,0.0005,301.03659263167657
15,7,1,0.0145,0.006500000000000001,0.0005,300.5533978890359
16,7,1,0.0155,0.006500000000000001,0.0005,300.27999746088653
17,7,1,0.0165,0.006500000000000001,0.0005,300.134305522925
18,7,1,0.0175,0.006500000000000001,0.0005,300.0610980003903
19,7,1,0.0185,0.006500000000000001,0.0005,300.0263721905953
20,7,1,0.0195,0.006500000000000001,0.0005,300.0108058206494
21,7,1,0.0205,0.006500000000000001,0.0005,300.00420508116014
22,7,1,0.021500000000000002,0.006500000000000001,0.0005,300.0015549264832
23,7,1,0.0225,0.006500000000000001,0.0005,300.0005466065043
24,7,1,0.0235,0.006500000000000001,0.0005,300.0001827567361
25,7,1,0.0245,0.006500000000000001,0.0005,300.00005814347463
26,7,1,0.025500000000000002,0.006500000000000001,0.0005,300.00001760930076
27,7,1,0.0265,0.006500000000000001,0.0005,300.0000050788935
28,7,1,0.0275,0.006500000000000001,0.0005,300.0000013955357
29,7,1,0.0285,0.006500000000000001,0.0005,300.00000036542866
30,7,1,0.029500000000000002,0.006500000000000001,0.0005,300.0000000912208
31,7,1,0.0305,0.006500000000000001,0.0005,300.00000002174033
32,7,1,0.0315,0.006500000000000001,0.0005,300.0000000052829
1,8,1,0.0005,0.0075,0.0005,338.44461923058236
2,8,1,0.0015,0.0075,0.0005,336.8654279555567
3,8,1,0.0025,0.0075,0.0005,334.5377192982859
4,8,1,0.0035,0.0075,0.0005,331.42524726858727
5,8,1,0.0045000000000000005,0.0075,0.0005,327.61629454478265
6,8,1,0.0055,0.0075,0.0005,323.3257711463436
7,8,1,0.006500000000000001,0.0075,0.0005,318.85915605813875
8,8,1,0.0075,0.0075,0.0005,314.54833446728577
9,8,1,0.0085,0.0075,0.0005,310.6814611112626
10,8,1,0.0095,0.0075,0.0005,307.45051868608357
11,8,1,0.0105,0.0075,0.0005,304.93101043433694
12,8,1,0.0115,0.0075,0.0005,303.0940754028103
13,8,1,0.0125,0.0075,0.0005,301.83983545715586
14,8,1,0.0135,0.0075,0.0005,301.03659263167657
15,8,1,0.0145,0.0075,0.0005,300.5533978890359
16,8,1,0.0155,0.0075,0.0005,300.27999746088653
17,8,1,0.0165,0.0075,0.0005,300.134305522925
18,8,1,0.0175,0.0075,0.0005,300.0610980003903
19,8,1,0.0185,0.0075,0.0005,300.0263721905953
20,8,1,0.0195,0.0075,0.0005,300.0108058206494
21,8,1,0.0205,0.0075,0.0005,300.00420508116014
22,8,1,0.021500000000000002,0.0075,0.0005,300.0015549264832
23,8,1,0.0225,0.0075,0.0005,300.0005466065043
24,8,1,0.0235,0.0075,0.0005,300.0001827567361
25,8,1,0.0245,0.0075,0.0005,300.00005814347463
26,8,1,0.025500000000000002,0.0075,0.0005,300.00001760930076
27,8,1,0.0265,0.0075,0.0005,300.0000050788935
28,8,1,0.0275,0.0075,0.0005,300.0000013955357
29,8,1,0.0285,0.0075,0.0005,300.00000036542866
30,8,1,0.029500000000000002,0.0075,0.0005,300.0000000912208
31,8,1,0.0305,0.0075,0.0005,300.00000002174033
32,8,1,0.0315,0.0075,0.0005,300.0000000052829
1,9,1,0.0005,0.0085,0.0005,338.44461923058236
2,9,1,0.0015,0.0085,0.0005,336.8654279555567
3,9,1,0.0025,0.0085,0.0005,334.5377192982859
4,9,1,0.0035,0.0085,0.0005,331.42524726858727
5,9,1,0.0045000000000000005,0.0085,0.0005,327.61629454478265
6,9,1,0.0055,0.0085,0.0005,323.3257711463436
7,9,1,0.006500000000000001,0.0085,0.0005,318.85915605813875
8,9,1,0.0075,0.0085,0.0005,314.54833446728577
9,9,1,0.0085,0.0085,0.0005,310.6814611112626
10,9,1,0.0095,0.0085,0.0005,307.45051868608357
11,9,1,0.0105,0.0085,0.0005,304.93101043433694
12,9,1,0.0115,0.0085,0.0005,303.0940754028103
13,9,1,0.0125,0.0085,0.0005,301.83983545715586
14,9,1,0.0135,0.0085,0.0005,301.03659263167657
15,9,1,0.0145,0.0085,0.0005,300.5533978890359
16,9,1,0.0155,0.0085,0.0005,300.27999746088653
17,9,1,0.0165,0.0085,0.0005,300.134305522925
18,9,1,0.0175,0.0085,0.0005,300.0610980003903
19,9,1,0.0185,0.0085,0.0005,300.0263721905953
20,9,1,0.0195,0.0085,0.0005,300.0108058206494
21,9,1,0.0205,0.0085,0.0005,300.00420508116014
22,9,1,0.021500000000000002,0.0085,0.0005,300.0015549264832
23,9,1,0.0225,0.0085,0.0005,300.0005466065043
24,9,1,0.0235,0.0085,0.0005,300.0001827567361
25,9,1,0.0245,0.0085,0.0005,300.00005814347463
26,9,1,0.025500000000000002,0.0085,0.0005,300.00001760930076
27,9,1,0.0265,0.0085,0.0005,300.0000050788935
28,9,1,0.0275,0.0085,0.0005,300.0000013955357
29,9,1,0.0285,0.0085,0.0005,300.00000036542866
30,9,1,0.029500000000000002,0.0085,0.0005,300.0000000912208
31,9,1,0.0305,0.0085,0.0005,300.00000002174033
32,9,1,0.0315,0.0085,0.0005,300.0000000052829
1,10,1,0.0005,0.0095,0.0005,338.44461923058236
2,10,1,0.0015,0.0095,0.0005,336.8654279555567
3,10,1,0.0025,0.0095,0.0005,334.5377192982859
4,10,1,0.0035,0.0095,0.0005,331.42524726858727
5,10,1,0.0045000000000000005,0.0095,0.0005,327.61629454478265
6,10,1,0.0055,0.0095,0.0005,323.3257711463436
7,10,1,0.006500000000000001,0.0095,0.0005,318.85915605813875
8,10,1,0.0075,0.0095,0.0005,314.54833446728577
9,10,1,0.0085,0.0095,0.0005,310.6814611112626
10,10,1,0.0095,0.0095,0.0005,307.45051868608357
11,10,1,0.0105,0.0095,0.0005,304.93101043433694
12,10,1,0.0115,0.0095,0.0005,303.0940754028103
13,10,1,0.0125,0.0095,0.0005,301.83983545715586
14,10,1,0.0135,0.0095,0.0005,301.03659263167657
15,10,1,0.0145,0.0095,0.0005,300.5533978890359
16,10,1,0.0155,0.0095,0.0005,300.27999746088653
17,10,1,0.0165,0.0095,0.0005,300.134305522925
18,10,1,0.0175,0.0095,0.0005,300.0610980003903
19,10,1,0.0185,0.0095,0.0005,300.0263721905953
20,10,1,0.0195,0.0095,0.0005,300.0108058206494
21,10,1,0.0205,0.0095,0.0005,300.00420508116014
22,10,1,0.021500000000000002,0.0095,0.0005,300.0015549264832
23,10,1,0.0225,0.0095,0.0005,300.0005466065043
24,10,1,0.0235,0.0095,0.0005,300.0001827567361
25,10,1,0.0245,0.0095,0.0005,300.00005814347463
26,10,1,0.025500000000000002,0.0095,0.0005,300.00001760930076
27,10,1,0.0265,0.0095,0.0005,300.0000050788935
28,10,1,0.0275,0.0095,0.0005,300.0000013955357
29,10,1,0.0285,0.0095,0.0005,300.00000036542866
30,10,1,0.029500000000000002,0.0095,0.0005,300.0000000912208
31,10,1,0.0305,0.0095,0.0005,300.00000002174033
32,10,1,0.0315,0.0095,0.0005,300.0000000052829
1,11,1,0.0005,0.0105,0.0005,338.44461923058236
2,11,1,0.0015,0.0105,0.0005,336.8654279555567
3,11,1,0.0025,0.0105,0.0005,334.5377192982859
4,11,1,0.0035,0.0105,0.0005,331.42524726858727
5,11,1,0.0045000000000000005,0.0105,0.0005,327.61629454478265
6,11,1,0.0055,0.0105,0.0005,323.3257711463436
7,11,1,0.006500000000000001,0.0105,0.0005,318.85915605813875
8,11,1,0.0075,0.0105,0.0005,314.54833446728577
9,11,1,0.0085,0.0105,0.0005,310.6814611112626
10,11,1,0.0095,0.0105,0.0005,307.45051868608357
11,11,1,0.0105,0.0105,0.0005,304.93101043433694
12,11,1,0.0115,0.0105,0.0005,303.0940754028103
13,11,1,0.0125,0.0105,0.0005,301.83983545715586
14,11,1,0.0135,0.0105,0.0005,301.03659263167657
15,11,1,0.0145,0.0105,0.0005,300.5533978890359
16,11,1,0.0155,0.0105,0.0005,300.27999746088653
17,11,1,0.0165,0.0105,0.0005,300.134305522925
18,11,1,0.0175,0.0105,0.0005,300.0610980003903
19,11,1,0.0185,0.0105,0.0005,300.0263721905953
20,11,1,0.0195,0.0105,0.0005,300.0108058206494
21,11,1,0.0205,0.0105,0.0005,300.00420508116014
22,11,1,0.021500000000000002,0.0105,0.0005,300.0015549264832
23,11,1,0.0225,0.0105,0.0005,300.0005466065043
24,11,1,0.0235,0.0105,0.0005,300.0001827567361
25,11,1,0.0245,0.0105,0.0005,300.00005814347463
