x_index,y_index,z_index,temperature_k,source_tracer_mol_m3,ambient_tracer_mol_m3,tracer_sum_mol_m3,source_fraction
12,9,6,302.6232131348309,0.10230313581098437,0.8976968641890157,1.0,0.10230313581098437
13,9,6,301.55693969932025,0.05521075819507419,0.944789241804926,1.0000000000000002,0.05521075819507418
14,9,6,300.87611439681467,0.027638300159149316,0.9723616998408507,1.0,0.027638300159149316
15,9,6,300.4673802876657,0.012859079803745437,0.9871409201962547,1.0,0.012859079803745437
16,9,6,300.2364009458376,0.005571968019425808,0.9944280319805743,1.0,0.005571968019425808
17,9,6,300.11339750240495,0.0022531401676767725,0.9977468598323231,0.9999999999999999,0.002253140167676773
18,9,6,300.0516036150166,0.0008519179406024028,0.9991480820593975,0.9999999999999999,0.0008519179406024029
19,9,6,300.02228709943574,0.0003017463509608799,0.9996982536490391,1.0,0.0003017463509608799
20,9,6,300.0091393542647,0.00010029404576267184,0.9998997059542374,1.0,0.00010029404576267184
21,9,6,300.0035601408392,3.1332740584076605e-5,0.9999686672594159,1.0,3.1332740584076605e-5
22,9,6,300.00131799280194,9.214252693605075e-6,0.9999907857473065,1.0,9.214252693605075e-6
23,9,6,300.0004639339956,2.5542141782063156e-6,0.9999974457858217,0.9999999999999999,2.554214178206316e-6
24,9,6,300.0001553441036,6.682479350827811e-7,0.9999993317520647,0.9999999999999998,6.682479350827812e-7
25,9,6,300.00004950158717,1.6519691184528887e-7,0.9999998348030881,0.9999999999999999,1.651969118452889e-7
26,9,6,300.0000150179179,3.8628413216082045e-8,0.9999999613715868,1.0,3.8628413216082045e-8
27,9,6,300.0000043394586,8.551995603535811e-9,0.9999999914480043,0.9999999999999999,8.551995603535813e-9
28,9,6,300.00000119468336,1.794153171562607e-9,0.9999999982058467,0.9999999999999999,1.7941531715626072e-9
29,9,6,300.00000031347594,3.5696188003660623e-10,0.9999999996430379,0.9999999999999998,3.5696188003660634e-10
30,9,6,300.00000007842016,6.739976164018008e-11,0.9999999999326001,0.9999999999999999,6.739976164018009e-11
31,9,6,300.00000001873167,1.2084817726725628e-11,0.9999999999879152,1.0,1.2084817726725628e-11
32,9,6,300.000000004563,2.061558614058623e-12,0.9999999999979385,1.0,2.061558614058623e-12
1,9,7,335.0816547260074,0.999594049274446,0.0004059507255540773,1.0,0.999594049274446
2,9,7,331.85705463290867,0.9971481706878622,0.0028518293121378422,1.0,0.9971481706878622
3,9,7,328.55927617768884,0.9877149164501038,0.012285083549896228,1.0,0.9877149164501038
4,9,7,325.1265917505057,0.9619716575797959,0.038028342420204246,1.0,0.9619716575797959
5,9,7,321.53514811551355,0.9084836310267,0.09151636897330004,1.0,0.9084836310267
6,9,7,317.8562192583933,0.819532562403734,0.18046743759626607,1.0,0.819532562403734
7,9,7,314.24141715709646,0.6969452287003014,0.30305477129969854,1.0,0.6969452287003014
